mite_acc,reaction,enzyme_name,enzyme_description,tailoring,id_uniprot,id_genpept
MITE0000035,CCCCCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(c(Cl)c5)O3)NC(=O)[C@H](N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)cc(O)cc3[C@@H](C(=O)O)NC2=O)O[C@H](CO)[C@@H](O)[C@@H]1O>>CC(=O)N[C@H]1[C@H](O[C@@H]2c3ccc(c(Cl)c3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)Oc3ccc(cc3Cl)C[C@H]3NC(=O)[C@H](N)c5ccc(O)c(c5)Oc5cc(O)cc(c5)[C@H](NC3=O)C(=O)N[C@H]4C(=O)N[C@H]3C(=O)N[C@@H]2C(=O)N[C@H](C(=O)O)c2cc(O)cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c2-c2cc3ccc2O)O[C@H](CO)[C@@H](O)[C@@H]1O,Tcp24 a.k.a Orf2* a.k.a. tAtf,Acyltransferase,Multiple,Q70AY4,CAE53365.1
MITE0000086,CC(C)=CCC/C(C)=C/C[C@]1(O)C(=O)c2cc(O)c(C)c(O)c2C(=O)[C@@]1(Cl)CC=C(C)C>>CC(C)=CCCC(C)=CC[C@@]12OC(C)(C)[C@H](Cl)C[C@]1(Cl)C(=O)c1c(cc(O)c(C)c1O)C2=O,NapH1,Vanadium-Dependent Chloroperoxidase,Multiple,A7KGZ9,ABS50458.1
MITE0000112,CC[C@H]1OC(=O)CCC2C=CC3C[C@H](O)[C@H](C)[C@H](O)C3C2/C(C)=C/[C@H]1C>>CC[C@H]1OC(=O)[C@@H](O)CC2C=CC3C[C@H](O)[C@H](C)[C@H](O)C3C2C(C)=C[C@H]1C,Ngnp1,Cytochrome P450,Multiple,A0A3S7Q0I4,AXG22409.1
MITE0000111,CO[C@H]1CC2C=CC3C[C@H](O)[C@H](C)[C@@H](O)C3C2C(C)=C[C@@H](C)[C@@H]([C@@H](C)O)OC1=O>>CO[C@H]1CC2C=CC3C4[C@H](O)[C@@H](C)[C@@H](O)[C@@H]3OC24C(C)=C[C@@H](C)[C@@H]([C@@H](C)O)OC1=O,NgnO3,Dioxygenase,Multiple,A0A3S7PZF2,AXG22416.1
MITE0000138,N=C(N)NCCC[C@@H]1NC(=O)/C(=C/c2ccc(O)c(OCC[C@H](N)C(=O)O)c2)NC1=O>>N=C(N)NCCC[C@@H]1NC(=O)C(=Cc2ccc(O)c(OCC[C@H](NC(=O)C[C@](O)(CC(=O)O)C(=O)O)C(=O)O)c2)NC1=O,AnkE,NRPS independent siderophore synthetase,Other,A0A397HK89,RHZ63459.1
MITE0000098,NC[C@H]1O[C@@H](c2c[nH]c(=O)[nH]c2=O)[C@H](O)[C@@H]1O>>NC(=O)CC[C@H](N)C(=O)NC[C@H]1O[C@@H](c2c[nH]c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,PumK,Carboxylate-Amine Ligase,Other,A0A2R4FXX8,AVT42380.1
MITE0000102,O=C(O)C1=C(O)CC=CC=C1>>O=c1cccccc1O,TrlE,Flavoprotein monooxygenase,Other,A0A2S1JZI9,AWF83809.1
MITE0000186,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O>>O=C(O)C(=O)C=CC1=CN[C@H](C(=O)O)C1,HrmF,L-DOPA dioxygenase,Other,F8S6V7,AEH41784.1
MITE0000099,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=c1[nH]cc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,PumJ,Pseudouridine synthase,Other,A0A2R4FXX7,AVT42379.1
MITE0000165,CC1=CC(=O)C(C(=O)c2c(O)cccc2O)=C(CO)[C@@H]1O>>C[C@@H]1CC(=O)C(C(=O)c2c(O)cccc2O)=C(CO)C1=O,PhoN,Isomerase,Other,,UPG58743.1
